"","Date","score","year","month"
"1",1987-01-01,0.421937321937322,1987,1
"2",1987-01-02,0.171172161172161,1987,1
"3",1987-01-03,0.393790849673203,1987,1
"4",1987-01-04,3.52748389954272,1987,1
"5",1987-01-05,1.05443641815456,1987,1
"6",1987-01-06,2.66240215924426,1987,1
"7",1987-01-07,3.48938644688645,1987,1
"8",1987-01-08,2.16290545203589,1987,1
"9",1987-01-09,0.616998643535375,1987,1
"10",1987-01-10,-0.454545454545455,1987,1
"11",1987-01-11,2.53502053502054,1987,1
"12",1987-01-12,0.980926581158779,1987,1
"13",1987-01-13,-0.356645868152615,1987,1
"14",1987-01-14,2.76163812033377,1987,1
"15",1987-01-15,1.79102845624585,1987,1
"16",1987-01-16,1.36231684981685,1987,1
"17",1987-01-17,1.46982142857143,1987,1
"18",1987-01-18,4.85335105726489,1987,1
"19",1987-01-19,1.40733065953654,1987,1
"20",1987-01-20,1.4423690344743,1987,1
"21",1987-01-21,0.935063610842254,1987,1
"22",1987-01-22,0.106686504033051,1987,1
"23",1987-01-23,NA,1987,1
"24",1987-01-24,-2.25882056640677,1987,1
"25",1987-01-25,0.486521208444583,1987,1
"26",1987-01-26,-0.548316865526429,1987,1
"27",1987-01-27,4.37470598827585,1987,1
"28",1987-01-28,1.70434782608696,1987,1
"29",1987-01-29,0.0678955453149002,1987,1
"30",1987-01-30,0.621666666666667,1987,1
"31",1987-01-31,-0.0510989010989012,1987,1
"32",1987-02-01,3.60718013621786,1987,2
"33",1987-02-02,2.40384615384615,1987,2
"34",1987-02-03,2.21529100529101,1987,2
"35",1987-02-04,1.43539448539449,1987,2
"36",1987-02-05,2.45765639589169,1987,2
"37",1987-02-06,1.6577720009175,1987,2
"38",1987-02-07,-1.67261904761905,1987,2
"39",1987-02-08,4.47956053234691,1987,2
"40",1987-02-09,0.81390977443609,1987,2
"41",1987-02-10,0.0306759906759905,1987,2
"42",1987-02-11,-0.914101669856145,1987,2
"43",1987-02-12,0.781496825614473,1987,2
"44",1987-02-13,-2.20783194261455,1987,2
"45",1987-02-14,-0.942308959156785,1987,2
"46",1987-02-15,4.98442427670369,1987,2
"47",1987-02-16,1.67424242424242,1987,2
"48",1987-02-17,-1.77050564629966,1987,2
"49",1987-02-18,NA,1987,2
"50",1987-02-19,1.70011846785302,1987,2
"51",1987-02-20,2.06670956670957,1987,2
"52",1987-02-21,-0.25721396250808,1987,2
"53",1987-02-22,0.493650793650794,1987,2
"54",1987-02-23,4.37051414768806,1987,2
"55",1987-02-24,-2.54109574000878,1987,2
